sample_id,source,is_hallucination,D_hat,coh_star,r_LZ,asv_score,text_length,num_tokens,llm_model,n_tokens,r_lz_normalized
fever_181616,fever,True,0.5,0.2258064516129032,0.7661290322580645,0.6166666666666666,123,31,gpt-4-turbo-preview,20,1.0
fever_190163,fever,True,0.5,0.3684210526315789,0.7861842105263158,0.6517543859649122,151,38,gpt-4-turbo-preview,26,1.0
fever_212187,fever,False,0.5,0.5263157894736842,0.743421052631579,0.7087719298245613,235,57,gpt-4-turbo-preview,40,1.0
fever_227356,fever,True,0.5,0.288135593220339,0.6165254237288136,0.7567796610169492,284,59,gpt-4-turbo-preview,44,1.0
fever_184068,fever,True,0.5,0.2790697674418604,0.6773255813953488,0.7492248062015504,179,43,gpt-4-turbo-preview,30,1.0
fever_30451,fever,True,0.5,0.3272727272727272,0.6636363636363637,0.7666666666666666,235,55,gpt-4-turbo-preview,46,1.0
fever_20461,fever,True,0.5,0.3793103448275862,0.7327586206896551,0.7229885057471264,126,29,gpt-4-turbo-preview,20,1.0
fever_221081,fever,False,0.5,0.3636363636363636,0.8295454545454546,0.5939393939393938,92,22,gpt-4-turbo-preview,16,1.0
fever_119630,fever,False,0.5,0.28,0.905,0.4766666666666665,101,25,gpt-4-turbo-preview,18,1.0
fever_184072,fever,True,0.5,0.3488372093023256,0.5726744186046512,0.7666666666666666,206,43,gpt-4-turbo-preview,30,1.0
fever_181206,fever,True,0.5,0.375,0.7165178571428571,0.7446428571428572,233,56,gpt-4-turbo-preview,39,1.0
fever_33075,fever,True,0.5,0.4385964912280701,0.6754385964912281,0.7666666666666666,273,57,gpt-4-turbo-preview,45,1.0
fever_198216,fever,False,0.5,0.25,0.671875,0.7250000000000001,108,24,gpt-4-turbo-preview,17,1.0
fever_53895,fever,True,0.5,0.25,0.6805555555555556,0.7250000000000001,147,36,gpt-4-turbo-preview,26,1.0
fever_198231,fever,True,0.5,0.28,0.79,0.6299999999999999,111,25,gpt-4-turbo-preview,18,1.0
fever_141932,fever,True,0.5,0.28,0.6375,0.75,250,50,gpt-4-turbo-preview,38,1.0
